Name,Save 1,Save 2,Save 3,Save 4,Save 5,Save 6
RatlingGun,1.1666666666666667,2.3333333333333335,3.5000000000000004,4.666666666666667,5.833333333333333,7.000000000000001
RatlingGunAlloutAttack,1.4583333333333333,2.9166666666666665,4.375,5.833333333333333,7.291666666666667,8.75
RatlingGunWarpCog,1.6635802469135808,3.089506172839507,4.515432098765433,5.941358024691358,8.555555555555557,8.555555555555557
RatlingGunFilfthCrust4,1.1666666666666667,2.3333333333333335,3.5000000000000004,4.666666666666667,5.833333333333333,7.000000000000001
RatlingGunAlloutAttackWarpCog,2.079475308641976,3.8618827160493834,5.644290123456791,7.426697530864199,10.694444444444445,10.694444444444445
RatlingGunAlloutAttackFilfthCrust4,1.4583333333333333,2.9166666666666665,4.375,5.833333333333333,7.291666666666667,8.75
RatlingGunWarpCogFilfthCrust4,1.6635802469135808,3.089506172839507,4.515432098765433,5.941358024691358,8.555555555555557,8.555555555555557
RatlingGunAlloutAttackWarpCogFilfthCrust4,2.079475308641976,3.8618827160493834,5.644290123456791,7.426697530864199,10.694444444444445,10.694444444444445
RatlingGun,1.1666666666666667,2.3333333333333335,3.5000000000000004,4.666666666666667,5.833333333333333,7.000000000000001
RatlingGunAlloutAttack,1.4583333333333333,2.9166666666666665,4.375,5.833333333333333,7.291666666666667,8.75
RatlingGunWarpCog,1.6635802469135808,3.089506172839507,4.515432098765433,5.941358024691358,8.555555555555557,8.555555555555557
RatlingGunFilfthCrust4,1.1666666666666667,2.3333333333333335,3.5000000000000004,4.666666666666667,5.833333333333333,7.000000000000001
RatlingGunAlloutAttackWarpCog,2.079475308641976,3.8618827160493834,5.644290123456791,7.426697530864199,10.694444444444445,10.694444444444445
RatlingGunAlloutAttackFilfthCrust4,1.4583333333333333,2.9166666666666665,4.375,5.833333333333333,7.291666666666667,8.75
RatlingGunWarpCogFilfthCrust4,1.6635802469135808,3.089506172839507,4.515432098765433,5.941358024691358,8.555555555555557,8.555555555555557
RatlingGunAlloutAttackWarpCogFilfthCrust4,2.079475308641976,3.8618827160493834,5.644290123456791,7.426697530864199,10.694444444444445,10.694444444444445
RatlingGun,1.1666666666666667,2.3333333333333335,3.5000000000000004,4.666666666666667,5.833333333333333,7.000000000000001
RatlingGunAlloutAttack,1.4583333333333333,2.9166666666666665,4.375,5.833333333333333,7.291666666666667,8.75
RatlingGunWarpCog,1.6635802469135808,3.089506172839507,4.515432098765433,5.941358024691358,8.555555555555557,8.555555555555557
RatlingGunFilfthCrust4,1.1666666666666667,2.3333333333333335,3.5000000000000004,4.666666666666667,5.833333333333333,7.000000000000001
RatlingGunAlloutAttackWarpCog,2.079475308641976,3.8618827160493834,5.644290123456791,7.426697530864199,10.694444444444445,10.694444444444445
RatlingGunAlloutAttackFilfthCrust4,1.4583333333333333,2.9166666666666665,4.375,5.833333333333333,7.291666666666667,8.75
RatlingGunWarpCogFilfthCrust4,1.6635802469135808,3.089506172839507,4.515432098765433,5.941358024691358,8.555555555555557,8.555555555555557
RatlingGunAlloutAttackWarpCogFilfthCrust4,2.079475308641976,3.8618827160493834,5.644290123456791,7.426697530864199,10.694444444444445,10.694444444444445
WarpfireThrower,2.083333333333333,3.125,4.166666666666666,5.208333333333334,6.25,6.25
WarpfireThrowerAlloutAttack,2.5,3.75,5.0,6.25,7.5,7.5
WarpfireThrowerWarpCog,2.758487654320987,4.031635802469134,5.304783950617282,7.638888888888888,7.638888888888888,7.638888888888888
WarpfireThrowerFilfthCrust4,2.083333333333333,3.125,4.166666666666666,5.208333333333334,6.25,6.25
WarpfireThrowerAlloutAttackWarpCog,3.3101851851851847,4.837962962962963,6.36574074074074,9.166666666666668,9.166666666666668,9.166666666666668
WarpfireThrowerAlloutAttackFilfthCrust4,2.5,3.75,5.0,6.25,7.5,7.5
WarpfireThrowerWarpCogFilfthCrust4,2.758487654320987,4.031635802469134,5.304783950617282,7.638888888888888,7.638888888888888,7.638888888888888
WarpfireThrowerAlloutAttackWarpCogFilfthCrust4,3.3101851851851847,4.837962962962963,6.36574074074074,9.166666666666668,9.166666666666668,9.166666666666668
WarpfireThrower,2.083333333333333,3.125,4.166666666666666,5.208333333333334,6.25,6.25
WarpfireThrowerAlloutAttack,2.5,3.75,5.0,6.25,7.5,7.5
WarpfireThrowerWarpCog,2.758487654320987,4.031635802469134,5.304783950617282,7.638888888888888,7.638888888888888,7.638888888888888
WarpfireThrowerFilfthCrust4,2.083333333333333,3.125,4.166666666666666,5.208333333333334,6.25,6.25
WarpfireThrowerAlloutAttackWarpCog,3.3101851851851847,4.837962962962963,6.36574074074074,9.166666666666668,9.166666666666668,9.166666666666668
WarpfireThrowerAlloutAttackFilfthCrust4,2.5,3.75,5.0,6.25,7.5,7.5
WarpfireThrowerWarpCogFilfthCrust4,2.758487654320987,4.031635802469134,5.304783950617282,7.638888888888888,7.638888888888888,7.638888888888888
WarpfireThrowerAlloutAttackWarpCogFilfthCrust4,3.3101851851851847,4.837962962962963,6.36574074074074,9.166666666666668,9.166666666666668,9.166666666666668
WarpfireThrower,2.083333333333333,3.125,4.166666666666666,5.208333333333334,6.25,6.25
WarpfireThrowerAlloutAttack,2.5,3.75,5.0,6.25,7.5,7.5
WarpfireThrowerWarpCog,2.758487654320987,4.031635802469134,5.304783950617282,7.638888888888888,7.638888888888888,7.638888888888888
WarpfireThrowerFilfthCrust4,2.083333333333333,3.125,4.166666666666666,5.208333333333334,6.25,6.25
WarpfireThrowerAlloutAttackWarpCog,3.3101851851851847,4.837962962962963,6.36574074074074,9.166666666666668,9.166666666666668,9.166666666666668
WarpfireThrowerAlloutAttackFilfthCrust4,2.5,3.75,5.0,6.25,7.5,7.5
WarpfireThrowerWarpCogFilfthCrust4,2.758487654320987,4.031635802469134,5.304783950617282,7.638888888888888,7.638888888888888,7.638888888888888
WarpfireThrowerAlloutAttackWarpCogFilfthCrust4,3.3101851851851847,4.837962962962963,6.36574074074074,9.166666666666668,9.166666666666668,9.166666666666668
WarpvoltScourgers,0.9210526315789472,1.8421052631578945,2.763157894736842,3.684210526315789,4.605263157894736,5.526315789473684
